,count,word
284,3,#초코라떼
285,1,#당보충
286,1,#몽크
287,1,#supershakes
288,1,#알카자쇼
289,1,#귀걸이
290,1,#파타야
291,1,#씨푸드
292,2,#맥주
293,75,#먹스타그램
294,2,#여행에미치다
295,10,#여행스타그램
296,3,#머랭꽃다발
297,15,#뉴욕치즈케이크
298,1,#꾸덕치즈케이크
299,1,#미오베이커리
300,8,#감사합니다
301,1,#notokyo
302,1,#no
303,1,#맨날비오네
304,4,#제주카페
305,1,#제주부부
306,1,#안덕카페
307,2,#유루유루
308,1,#숙성케이크
309,1,#72시간숙성
310,1,#항아리치즈케이크
311,94,#cafe
312,84,#cheesecake
313,20,#카페라떼
314,4,#cafelatte
315,4,#얼그레이
316,1,#blacktea
317,1,#191215
318,1,#대학로카페
319,1,#혜화카페
320,2,#학림다방
321,2,#비엔나커피
322,1,#파브
323,39,#cake
324,1,#pumpkin
325,1,#gateau
326,1,#pavcoffee
327,2,#latte
328,8,#foodporn
329,1,#foodpic
330,6,#yummy
331,1,#meiko디저트
332,120,#디저트
333,1,#단호박
334,11,#라떼
335,12,#맛있다
336,8,#춘천
337,8,#춘천카페
338,8,#춘고앞카페
339,4,#애쉬커피바
340,105,#크리스마스
341,5,#강원도
342,21,#여행
343,4,#춘천여행
344,4,#춘천명동카페
345,4,#춘천역카페
346,4,#춘천카페추천
347,4,#중앙로
348,6,#파운드
349,4,#chuncheon
350,4,#ashcoffeebar
351,2,#구름별
352,6,#2020
353,1,#아크릴엠보
354,2,#춘천네일
355,1,#네일유메이징
356,1,#춘천네일유메이징
357,1,#넬스타그램
358,1,#춘천네일샵
359,2,#석사동네일
360,1,#퇴계동네일샵
361,1,#연말네일
362,6,#톰과제리
363,1,#네일이벤트
364,1,#쥐의해
365,1,#새해네일
366,18,#연말
367,1,#핸드페인팅
368,1,#네일디자인
369,1,#글리터
370,1,#이달의아트
371,1,#nailart
372,1,#tomandjerry
373,1,#disney
374,1,#glitternails
375,1,#endofyear
376,1,#nailstagram
377,1,#로사와함께
378,1,#여의도맛집
379,1,#여의도데이트
380,1,#여의도모임
381,1,#여의도브런치
382,1,#ddr
383,1,#dancedancerevolution
384,1,#스칼렛요한슨알리오올리오
385,1,#에그스크램블
386,1,#치킨시저샐러드
387,1,#호박수프
388,1,#양송이수프
389,1,#얼그레이케이크
390,1,#쇼뱅
391,1,#시그니처기린포즈
392,1,#DDR공식포즈롸잇
393,6,#건대
394,1,#마라탕
395,1,#꿔바로우
396,1,#크림새우
397,4,#아르무아
398,1,#먹는거뿐
399,1,#재밌는하루였다
400,1,#담엔
401,1,#마라샹궈
402,2,#아베키
403,4,#후쿠오카
404,7,#C27
405,1,#민트치즈케이크
406,2,#따아
407,1,#mintcheese
408,1,#mintcheeseecake
409,1,#전남
410,2,#전라도
411,1,#광양
412,3,#여수
413,1,#하동
414,1,#구례
415,1,#화개
416,1,#지리산
417,1,#섬진강
418,1,#화개장터
419,1,#여유
420,9,#힐링
421,2,#휴가
422,1,#광양민박
423,1,#물향기쉼터
424,16,#대구
425,3,#삼덕동
426,3,#삼덕동카페
427,3,#대구핫플
428,3,#daegu
429,3,#대구데이트코스
430,3,#applepie
431,3,#프라우송
432,3,#frausong
433,3,#대구데이트
434,6,#대구디저트카페
435,3,#삼덕카페
436,3,#월성동
437,3,#월성동카페
438,3,#상인동
439,3,#상인동카페
440,3,#베를리너치즈케이크
441,20,#카페그램
442,16,#감성카페
443,16,#분위기좋은카페
444,6,#카페사진
445,11,#감성사진
446,9,#햇살맛집
447,46,#디저트맛집
448,6,#딸기한상
449,51,#딸기케이크
450,15,#딸기디저트
451,15,#플랫화이트
452,13,#서면카페
453,8,#전포동카페
454,6,#전리단길카페
455,12,#전포카페
456,8,#전포카페거리
457,6,#전포동카페거리
458,7,#향미공간
459,4,#서울맛집
460,5,#서울여행
461,1,#이대맛집
462,3,#milktea
463,2,#studiowup
464,1,#오브너
465,1,#오브너케이크
466,3,#동성로카페
467,1,#ovener
468,1,#케이크추천
469,4,#대구디저트
470,4,#대구케이크
471,15,#치즈케이크맛집
472,5,#치케
473,11,#대구카페
474,2,#대구카페추천
475,2,#데이트카페
476,11,#케이크주문
477,1,#대구동성로
478,1,#디저트장인
479,1,#플레이팅장인
480,3,#꾸덕꾸덕
481,5,#달다구리
482,11,#어글리시스터즈의카페
483,1,#카페여러날
484,1,#향남
485,1,#향남2지구
486,18,#유마카롱
487,18,#신동
488,18,#수원마카롱
489,18,#신동마카롱
490,18,#영통마카롱
491,18,#망포마카롱
492,18,#매탄동마카롱
493,18,#동탄마카롱
494,18,#수원맛집
495,18,#인계동맛집
496,18,#광교맛집
497,18,#마카롱택배
498,137,#일상
499,18,#한입마카롱
500,18,#미니마카롱
501,29,#선물
502,18,#영통맛집
503,18,#youmacaron
504,29,#macarons
505,18,#톰쇼콜라케이크
506,18,#신동카페거리
507,5,#유나유리베이커리
508,21,#생크림케이크
509,4,#초코생크림케이크
510,6,#슈톨렌
511,5,#부산빵집
512,16,#빵
513,6,#온천천
514,24,#부산
515,5,#식빵맛집
516,5,#탕종식빵
517,6,#시오빵
518,6,#메론빵
519,7,#bread
520,4,#breadlover
521,4,#cristmas
522,4,#cristmascake
523,2,#콜드브루라떼
524,1,#일루미네이션
525,1,#오사카여행
526,1,#caf
527,16,#christmas
528,1,#Illumination
529,1,#creampuff
530,1,#traveljapan
531,1,#dolce
532,1,#sweet
533,1,#overthinking
