,Like_Count,Location,User_Name,Datetime,Location_URL,Tags,URL
259,69,VCR Bangsar,thesummergirl_10,2019년 12월 14일,https://www.instagram.com/explore/locations/819861981502923/vcr-bangsar/,"['#여행작가', '#말레이시아', '#쿠알라룸푸르', '#모닝커피', '#치즈케이크', '#kualalumpur', '#cafe', '#morningcoffee', '#travelwriter', '#womenwhotravel', '#cheesecake', '#saturdaymorning']",https://www.instagram.com/p/B6CMoIeHHeg/
260,21,김포공항 롯데백화점. 롯데몰,misakiakazawa,2019년 12월 13일,https://www.instagram.com/explore/locations/236278789/,"['#카페', '#카페라떼', '#치즈케이크', '#여행', '#angelinuscoffee']",https://www.instagram.com/p/B6AHCWRhm9Y/
261,32,"Seoul, Korea",yerimi_0915,2019년 12월 24일,https://www.instagram.com/explore/locations/213094191/seoul-korea/,"['#크리스마스이브', '#연말', '#예쁜나이스물다섯살', '#도', '#곧끝', '#쿠오레에스프레소', '#시바견', '#치즈케이크', '#카페', '#cafe', '#셀카', '#셀피', '#selca', '#selfie']",https://www.instagram.com/p/B6dAgCsjjeg/
262,28,카페 아르무아,elfallie860911,2019년 12월 14일,https://www.instagram.com/explore/locations/226615204720940/,"['#카페', '#cafe', '#치즈케이크', '#cheesecake', '#카페라떼', '#cafelatte', '#얼그레이', '#blacktea']",https://www.instagram.com/p/B6C9cV5l_s7/
263,149,스윗레시피 Sweet Recipe,sweet_0310,2019년 12월 14일,https://www.instagram.com/explore/locations/393288434546171/sweet-recipe/,['#스윗레시피'],https://www.instagram.com/p/B6C2EfiJG5k/
264,22,주재커피,onehee0316,2019년 12월 21일,https://www.instagram.com/explore/locations/1401136430030803/,"['#먹스타그램', '#진해카페', '#주재커피', '#시나몬치노', '#플랫화이트', '#치즈케이크']",https://www.instagram.com/p/B6VBBjBA2Bk/
265,49,"Gwangju, South Korea",chouchou_table,2019년 12월 30일,https://www.instagram.com/explore/locations/768404321/gwangju-south-korea/,"['#슈슈테이블', '#단호박치즈케이크', '#에그파이', '#광주베이킹클래스', '#광주원데이클래스', '#목포베이킹클래스', '#원데이클래스', '#베이킹클래스', '#구움과자', '#카페디저트클래스', '#카페디저트', '#광주카페', '#에그타르트', '#에그파이', '#광주에그타르트', '#단호박케이크', '#단호박치즈케이크', '#치즈케이크', '#광주케이크', '#케이크클래스', '#슈슈테이블베이킹클래스', '#chouchou']",https://www.instagram.com/p/B6sSAnwpFGQ/
266,46,애쉬커피바,ash_coffeebar,2019년 12월 20일,https://www.instagram.com/explore/locations/307116333006294/,"['#춘천', '#춘천카페', '#춘고앞카페', '#애쉬커피바', '#우녹스', '#오븐', '#우녹스오븐', '#교체', '#춘천', '#강원도', '#여행', '#카페', '#커피', '#카페투어', '#춘천카페', '#춘천여행', '#춘고앞카페', '#춘천명동카페', '#춘천역카페', '#디저트카페', '#춘천카페추천', '#중앙로', '#마들렌', '#파운드', '#치즈케이크', '#티라미수', '#chuncheon', '#cafe', '#coffee', '#ashcoffeebar']",https://www.instagram.com/p/B6SUuW9pcc2/
267,61,FLAT Coffee,flat___coffee,2019년 12월 13일,https://www.instagram.com/explore/locations/153679241891230/flat-coffee/,"['#flatcoffee', '#플랫커피', '#공릉동카페', '#공릉카페', '#공트럴파크', '#브루잉', '#프릳츠', '#커피리브레', '#모모스', '#커피몽타주', '#WERK', '#커피', '#토스트', '#치즈케이크', '#푸어오버', '#에어로프레스', '#하리오스위치', '#후르츠젤리소다', '#스트로베리라떼', '#딸기라떼']",https://www.instagram.com/p/B5_5EMwJIeD/
268,95,Daegu,93_0ju,2019년 12월 15일,https://www.instagram.com/explore/locations/6650643/daegu/,"['#교동카페', '#오로지케이크', '#거울샷', '#치즈케이크']",https://www.instagram.com/p/B6GJMJOlc1r/
269,33,"Daegu, South Korea",_______kim.0912,2019년 12월 21일,https://www.instagram.com/explore/locations/102159636493202/daegu-south-korea/,"['#대구', '#파리바게트', '#빠바', '#치즈케익', '#치즈케이크', '#졸귀', '#라이언', '#심쿵', '#귀여워', '#맛있겠다']",https://www.instagram.com/p/B6VIARMlnfh/
270,12,이디야 봉천,crystal_941103,2019년 12월 14일,https://www.instagram.com/explore/locations/272470897/,"['#일상', '#노력하고있어요', '#어둠의자식', '#밖으로', '#아메리카노', '#치즈케이크']",https://www.instagram.com/p/B6CxDvYJ2Vx/
271,16,상무지구 플로르델마르,flordelmar_dessert,2019년 12월 25일,https://www.instagram.com/explore/locations/255356669/,"['#바닐라치즈케이크', '#치즈케이크', '#뉴욕치즈케이크', '#크리스마스케이크', '#광주주문케이크', '#광주케이크', '#광주생화케이크', '#광주디저트카페', '#생화케이크', '#광주레터링케이크', '#플로르델마르']",https://www.instagram.com/p/B6e6yOuB_J-/
272,39,애월해안가,j.r_ang,2019년 12월 15일,https://www.instagram.com/explore/locations/160252934913083/,"['#27살', '#의', '#일상', '#일요그램', '#사촌언니', '#협재바다', '#애월한담산책로', '#카페', '#투썸', '#치즈케이크', '#뺑오레쟁', '#헤이즐넛생크레이프', '#따뜻한', '#프렌치얼그레이', '#카모마일', '#노을보며', '#좋다', '#웃음']",https://www.instagram.com/p/B6FrGG7ADdm/
273,26,Yeonggwang,hyerim850625,2019년 12월 16일,https://www.instagram.com/explore/locations/303376781/yeonggwang/,"['#477일아기', '#생후477일', '#울엄마생신', '#승현외할미생신', '#한승현스타그램', '#치즈케이크', '#촛불끄자', '#아들스타그램']",https://www.instagram.com/p/B6IEZVlj6B-/
274,38,영도,uun.x_x,2019년 12월 29일,https://www.instagram.com/explore/locations/564104116978649/,[],https://www.instagram.com/p/B6qA_OaFeKF/
275,41,지금이곳,chikai825,2019년 12월 30일,https://www.instagram.com/explore/locations/100100981501271/,"['#영종도카페', '#지금이곳', '#바닐라카페라떼', '#치즈케이크', '#딸기생크림케이크', '#우중충한날엔', '#카페']",https://www.instagram.com/p/B6r9qAOhtD4/
276,76,Sheraton 쉐라톤인천호텔,geheimer_raum,2019년 12월 25일,https://www.instagram.com/explore/locations/113426589/sheraton/,['#roomservice'],https://www.instagram.com/p/B6fvZzcn7YC/
