,Location,Datetime,Tags,Like_Count,User_Name,url
17,압구정 Apgujung,2019년 12월 20일,"['#카페', '#카페스타그램', '#압구정', '#치즈케이크', '#차이티', '#압구정', '#카페스타그램', '#소통', '#맞팔', '#팔로우', '#데일리룩', '#좋아요반사']",17,_92o417,https://www.instagram.com/p/B6PAt6hFoEM/
18,인현마을,2019년 12월 25일,"['#죽전까페', '#오브레드', '#치즈케이크', '#죽전디저트', '#죽전디저트까페']",14,n_daily,https://www.instagram.com/p/B6FAaR9H3Pv/
19,스윗레시피,2019년 12월 14일,['#스윗레시피'],702,sweet_0310,https://www.instagram.com/p/B6m2YMvJsck/
20,갈매역 IPARK,2019년 12월 22일,"['#설빙', '#구리설빙', '#갈매설빙', '#사진', '#촬영', '#편집', '#사진스타그램', '#한딸기치즈케이크설빙', '#딸기설빙', '#치즈케이크', '#듬뿍', '#딸기', '#겨울엔', '#역시', '#딸기', '#맛집', '#딸기는', '#항상', '#옳다', '#설빙에서', '#딸기먹지', '#어디서', '#먹나']",7,seolbinggurigalmaejeom,https://www.instagram.com/p/B6af6UnnHj7/
21,Schatzinsel(샤츠인젤),2019년 12월 28일,"['#샤츠인젤', '#모모커피', '#건대카페', '#보물섬', '#골목카페', '#북카페', '#테이크아웃', '#핸드드립', '#수제청', '#레몬청', '#사과차', '#카페샤츠인젤', '#레몬에이드', '#쇼콜라라떼', '#귀리라떼', '#무료대관', '#카페대관', '#허니라떼', '#컵홀더이벤트', '#카페스타그램', '#생일이벤트', '#카야토스트', '#치즈케이크', '#크리스마스티']",25,whale305,https://www.instagram.com/p/B6NfYBXlsDc/
22,평택 어딘가,2019년 12월 17일,"['#요커트스무디', '#초코라떼', '#치즈케이크']",8,qh_fk_a_5,https://www.instagram.com/p/B6hnFEwJV4G/
23,Terminal21 พัทยาเหนือ,2019년 12월 20일,"['#당보충', '#몽크', '#치즈케이크', '#supershakes', '#알카자쇼', '#귀걸이', '#카페', '#파타야', '#씨푸드', '#맥주', '#먹스타그램', '#여행에미치다', '#여행스타그램']",36,soraasky,https://www.instagram.com/p/B6pFkIXDSO2/
24,세종시 새롬동,2019년 12월 18일,"['#머랭꽃다발', '#마카롱', '#세종시마카롱', '#새롬동카페', '#마카롱맛집', '#예쁜카페', '#두헤브마카롱', '#커피숍', '#새롬동카페', '#마카롱', '#예쁜카페', '#좌식테이블카페', '#세종시마카롱', '#커피맛좋은카페', '#치즈케이크', '#수제디저트', '#수제마카롱', '#머랭쿠키', '#세종시머랭쿠키', '#스콘', '#새롬동마카롱', '#슈', '#에끌레어', '#그래놀라', '#영양간식', '#마들렌', '#티라미수']",29,junghee0383,https://www.instagram.com/p/B6fOuc_AvF-/
25,풍동애니골,2019년 12월 23일,"['#치즈케이크', '#뉴욕치즈케이크', '#꾸덕치즈케이크', '#미오베이커리', '#감사합니다']",18,bakery_mio,https://www.instagram.com/p/B6moZjcAEtb/
26,Coe,2019년 12월 22일,[],58,coe_cafe,https://www.instagram.com/p/B6exkSSlYSv/
27,No.,2019년 12월 29일,"['#notokyo', '#no', '#치즈케이크']",215,s_kpiii,https://www.instagram.com/p/B6qGog0Fjbp/
28,유루유루,2019년 12월 29일,"['#맨날비오네', '#제주카페', '#제주부부', '#안덕카페', '#유루유루', '#숙성케이크', '#72시간숙성', '#치즈케이크', '#항아리치즈케이크']",16,bella_dojunghee,https://www.instagram.com/p/B6fu7LOhScC/
29,카페 아르무아,2019년 12월 14일,"['#카페', '#cafe', '#치즈케이크', '#cheesecake', '#카페라떼', '#cafelatte', '#얼그레이', '#blacktea']",28,elfallie860911,https://www.instagram.com/p/B6XIWJrp5nk/
30,학림다방,2019년 12월 15일,"['#191215', '#대학로카페', '#혜화카페', '#학림다방', '#비엔나커피', '#치즈케이크']",10,kkwonjii,https://www.instagram.com/p/B6j7NHFF55f/
31,경춘선숲길,2019년 12월 21일,"['#공릉', '#파브', '#cake', '#pumpkin', '#gateau', '#dessert', '#pavcoffee', '#latte', '#cheesecake', '#foodporn', '#foodpic', '#yummy', '#meiko디저트', '#디저트', '#케이크', '#단호박', '#치즈케이크', '#카페', '#라떼', '#맛있다']",38,ming_.stagram,https://www.instagram.com/p/B6f7DS9HjHs/
32,애쉬커피바,2019년 12월 16일,"['#춘천', '#춘천카페', '#춘고앞카페', '#애쉬커피바', '#크리스마스', '#춘천', '#강원도', '#여행', '#카페', '#커피', '#카페투어', '#춘천카페', '#춘천여행', '#춘고앞카페', '#춘천명동카페', '#춘천역카페', '#디저트카페', '#춘천카페추천', '#중앙로', '#마들렌', '#파운드', '#치즈케이크', '#티라미수', '#chuncheon', '#cafe', '#coffee', '#ashcoffeebar']",33,ash_coffeebar,https://www.instagram.com/p/B6f1JRXJkt8/
33,네일유메이징,2019년 12월 27일,"['#구름별', '#2020', '#아크릴엠보', '#치즈케이크', '#춘천네일', '#네일유메이징', '#춘천네일유메이징', '#춘천네일', '#넬스타그램', '#춘천네일샵', '#석사동네일', '#석사동네일', '#퇴계동네일샵', '#연말네일', '#톰과제리', '#네일이벤트', '#쥐의해', '#새해네일', '#연말', '#핸드페인팅', '#구름별', '#네일디자인', '#글리터', '#이달의아트', '#nailart', '#tomandjerry', '#disney', '#glitternails', '#endofyear', '#nailstagram']",49,happyeutist,https://www.instagram.com/p/B6dQbxoBZFV/
34,Ifc 3birds,2019년 12월 16일,"['#로사와함께', '#여의도맛집', '#여의도데이트', '#여의도모임', '#여의도브런치', '#ddr', '#dancedancerevolution', '#스칼렛요한슨알리오올리오', '#에그스크램블', '#치킨시저샐러드', '#호박수프', '#양송이수프', '#얼그레이케이크', '#치즈케이크', '#쇼뱅', '#시그니처기린포즈', '#DDR공식포즈롸잇']",44,rosamagnifica33,https://www.instagram.com/p/B6pW_selJkL/
35,매운향솥,2019년 12월 14일,"['#건대', '#마라탕', '#꿔바로우', '#크림새우', '#카페', '#아르무아', '#치즈케이크', '#밀크티', '#먹는거뿐', '#재밌는하루였다', '#담엔', '#마라샹궈']",25,jihun_k1125,https://www.instagram.com/p/B6f8YnMjPFZ/
36,Abeki,2019년 12월 21일,"['#치즈케이크', '#아베키', '#후쿠오카']",30,cattudio,https://www.instagram.com/p/B6YRxColfNL/
37,홍대 길거리,2019년 12월 29일,"['#c27cheesecakeandcoffee', '#C27', '#치즈케이크', '#민트치즈케이크', '#따아', '#cheesecake', '#mintcheese', '#mintcheeseecake', '#먹스타그램', '#전남', '#전라도', '#광양', '#여수', '#하동', '#구례', '#화개', '#지리산', '#섬진강', '#화개장터', '#여유', '#힐링', '#휴가', '#광양민박', '#물향기쉼터']",11,mao_little_forest,https://www.instagram.com/p/B6TcmdrFvEC/
38,Frausong,2019년 12월 17일,"['#대구', '#삼덕동', '#삼덕동카페', '#대구핫플', '#daegu', '#대구데이트코스', '#applepie', '#프라우송', '#frausong', '#대구데이트', '#대구디저트카페', '#삼덕카페', '#월성동', '#월성동카페', '#상인동', '#상인동카페', '#치즈케이크', '#베를리너치즈케이크']",68,frausong_kafe,https://www.instagram.com/p/B6StFdygzkA/
39,향미공간:香味空間,2019년 12월 24일,"['#카페', '#카페그램', '#카페투어', '#카페추천', '#신상카페', '#감성카페', '#분위기좋은카페', '#카페사진', '#감성사진', '#햇살맛집', '#디저트', '#디저트카페', '#디저트맛집', '#딸기한상', '#딸기', '#딸기케이크', '#딸기디저트', '#치즈케이크', '#커피맛집', '#핸드드립', '#카페라떼', '#플랫화이트', '#부산카페', '#서면카페', '#전포동카페', '#전리단길카페', '#전포카페', '#전포카페거리', '#전포동카페거리', '#향미공간']",59,flavor_space,https://www.instagram.com/p/B6THGBCHJrd/
