,Like_Count,Tags,Location,User_Name,URL,Location_URL,Datetime
15,39,"['#헤르아', '#herra', '#스콘', '#피낭시에', '#치즈케이크', '#더치커피', '#더치아메리카노', '#밀크티', '#디저트카페', '#카페', '#한조고', '#kcas21', '#kcas', '#03', '#17', '#좋아요']",디저트카페 헤르아 - HerrA,p_rayn._.0122,https://www.instagram.com/p/B6IwMQAh_Wj/,https://www.instagram.com/explore/locations/1075299545870485/-herra/,2019년 12월 16일
16,37,"['#유나유리베이커리', '#빵집', '#자매빵집', '#시오빵', '#메론빵', '#빵스타그램', '#굽스타그램', '#부산빵집', '#빵', '#온천천', '#부산', '#안락동', '#빵순이', '#빵돌이', '#식빵맛집', '#시오빵', '#메론빵', '#탕종식빵', '#크리스마스', '#슈톨렌', '#크리스마스케이크', '#치즈케이크', '#christmas', '#생크림케이크', '#초코케이크']","Busan, South Korea",yunayuri_bakery,https://www.instagram.com/p/B6cN5I7pzqp/,https://www.instagram.com/explore/locations/287620626/busan-south-korea/,2019년 12월 24일
17,44,"['#2단케이크', '#딸기케이크', '#치즈케이크', '#대구수제케이크', '#대구베이킹클래스', '#대구마카롱맛집', '#나카무라아카데미', '#jmt', '#jmtgr', '#대구디저트카페', '#더블프로마쥬케이크']",수성아트피아,cafe_plena,https://www.instagram.com/p/B57HdZFl6qN/,https://www.instagram.com/explore/locations/237095480/,2019년 12월 11일
18,121,"['#cheesecakefactory', '#cheesecake', '#hawaii', '#ohau', '#waikikibeach', '#하와이여행', '#치즈케이크', '#치즈케이크팩토리']","Waikiki Beach, Hawai'i",yonn1100,https://www.instagram.com/p/B6lcSPEJLLQ/,https://www.instagram.com/explore/locations/253132662/waikiki-beach-hawaii/,2019년 12월 28일
19,67,"['#사는게꽃같네', '#달맛이고개', '#브런치카페', '#디저트카페', '#플라워카페', '#플레르쎄지엠', '#카페쎄지엠', '#린보공방', '#FLEURSEIZIEME', '#크리스마스', '#치즈케이크', '#CHRISTMAS', '#CHEESECAKE', '#CAFE', '#DESSERT']",쎄지엠,jsd0529,https://www.instagram.com/p/B6XxPKrAyTX/,https://www.instagram.com/explore/locations/165384980667442/,2019년 12월 22일
20,39,"['#파리바게트', '#치즈케이크', '#티라미수', '#쌉존맛', '#치즈러버', '#감사합니다', '#고맙습니다', '#스무살시켜줘']",전남대 후문,mihyun.mija,https://www.instagram.com/p/B6X8eojhLP2/,https://www.instagram.com/explore/locations/569668630/,2019년 12월 22일
21,26,"['#하프파운드', '#구움과자전문점', '#발로나딥초코브라우니']",Seokchon Lake 석촌호수,half__pound,https://www.instagram.com/p/B6HouqRpIhh/,https://www.instagram.com/explore/locations/223878418/seokchon-lake/,2019년 12월 16일
22,210,[],녹향,greenfragrance_studio,https://www.instagram.com/p/B5-G-ZyHdST/,https://www.instagram.com/explore/locations/101472607959793/,2019년 12월 12일
23,119,"['#쎄지엠라떼', '#쎄지엠프라페', '#시그니처', '#수제케이크', '#치즈케이크', '#쇼콜라플라워컵케잌', '#컵케잌', '#플레르카페쎄지엠', '#린보공방', '#카페쎄지엠', '#해운대달맞이', '#해운대달맞이카페', '#부산카페', '#브런치카페', '#해운대브런치카페', '#디저트', '#디저트카페', '#coffee', '#brunch', '#fleurcafeseizieme', '#cafe', '#brunchcafe', '#flowercafe']",쎄지엠,fleurcafeseizieme,https://www.instagram.com/p/B6Fxk-8Jd9d/,https://www.instagram.com/explore/locations/165384980667442/,2019년 12월 15일
24,33,"['#오사카', '#오사카여행', '#오사카카페', '#멋진카페', '#인기', '#치즈케이크', '#카페라테', '#맛있어', '#먹스타그램', '#카페그램', '#여행스타그램']",Spectaclekitahama,misato.08,https://www.instagram.com/p/B6r7B4JpbTJ/,https://www.instagram.com/explore/locations/310076466177589/spectaclekitahama/,2019년 12월 30일
